date,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755864600000,2.8627,2.8640,2.8627,2.8640,82,1755864899999,286.40590318,4,82,286.40590318,0
1755864900000,2.8650,2.8675,2.8636,2.8675,642,1755865199999,2240.93786940,52,61,212.77034509,0
1755865200000,2.8688,2.8697,2.8688,2.8689,24,1755865499999,83.65259853,15,0,0,0
1755865500000,2.8661,2.8705,2.8661,2.8682,59,1755865799999,205.62537684,4,39,135.86968675,0
1755865800000,2.8678,2.8678,2.8529,2.8555,374,1755866099999,1309.66756797,22,193,675.72716319,0
1755866100000,2.8556,2.8569,2.8531,2.8531,100,1755866399999,350.19015469,6,80,280.09243788,0
1755866400000,2.8618,2.8689,2.8618,2.8689,308,1755866699999,1074.13811206,8,278,969.40047983,0
1755866700000,2.8705,2.8805,2.8705,2.8801,224,1755866999999,779.17514290,13,224,779.17514290,0
1755867000000,2.8791,2.8798,2.8772,2.8798,592,1755867299999,2056.86479376,21,82,284.75694997,0
1755867300000,2.8798,2.8798,2.8798,2.8798,0,1755867599999,0,0,0,0,0
1755867600000,2.8788,2.8794,2.8788,2.8794,83,1755867899999,288.27621242,2,83,288.27621242,0
1755867900000,2.8826,2.8826,2.8784,2.8784,30,1755868199999,104.17395018,2,10,34.69090404,0
1755868200000,2.8791,2.8831,2.8791,2.8822,64,1755868499999,222.02649492,3,2,6.94661526,0
1755868500000,2.8822,2.8822,2.8822,2.8822,0,1755868799999,0,0,0,0,0
1755868800000,2.8768,2.8793,2.8761,2.8778,616,1755869099999,2140.13207733,17,575,1997.59689861,0
1755869100000,2.8763,2.8763,2.8763,2.8763,1,1755869399999,3.47668880,1,0,0,0
1755869400000,2.8809,2.8809,2.8809,2.8809,20,1755869699999,69.42274984,1,0,0,0
1755869700000,2.8809,2.8809,2.8809,2.8809,0,1755869999999,0,0,0,0,0
1755870000000,2.8881,2.9324,2.8881,2.9146,527,1755870299999,1808.42183508,40,345,1185.50719203,0
1755870300000,2.9235,2.9284,2.9169,2.9183,941,1755870599999,3222.48905372,37,41,140.28761973,0
1755870600000,2.9176,2.9176,2.9077,2.9077,46,1755870899999,157.91271807,27,0,0,0
1755870900000,2.9057,2.9057,2.8981,2.9040,759,1755871199999,2617.54286835,35,441,1520.68490548,0
